"","GH","GA","scorer","time","scoring","game","league","covid","cens"
"4586",1,0,"Michael",44,"Goiás - GO","Goiás - GO v. CSA - AL 1:0","Brasil","Antes",0
"4587",1,0,"Nenê",20,"Fluminense RJ","Fluminense RJ v. Bahia - BA 2:0","Brasil","Antes",0
"4589",1,0,"Thiago Santos",15,"Palmeiras","Palmeiras v. Botafogo - RJ 1:0","Brasil","Antes",0
"4590",NA,NA,NA,90,NA,"Internacional v. Santos FC 0:0","Brasil","Antes",0
"4591",1,0,"Bérgson",90,"Ceará - CE","Ceará - CE v. Avaí - SC 1:0","Brasil","Antes",0
"4592",1,0,"Yago Pikachu",68,"Vasco da Gama - RJ","Vasco da Gama - RJ v. Fortaleza 1:0","Brasil","Antes",0
"4593",0,1,"Bruno Henrique",45,"Flamengo RJ","Athletico Paranaense v. Flamengo RJ 0:2","Brasil","Antes",1
"4595",1,0,"Reinaldo",66,"São Paulo FC","São Paulo FC v. Corinthians SP 1:0","Brasil","Antes",0
"4596",0,1,"Rafael Galhardo",34,"Grêmio Porto Alegre","Atlético Mineiro v. Grêmio Porto Alegre 1:4","Brasil","Antes",1
"4601",0,1,"Dedé",4,"Cruzeiro","Chapecoense v. Cruzeiro 1:1","Brasil","Antes",1
"4603",0,1,"Arthur Caíke",90,"Bahia - BA","Grêmio Porto Alegre v. Bahia - BA 0:1","Brasil","Antes",1
"4604",1,0,"Alecsandro",34,"CSA - AL","CSA - AL v. Atlético Mineiro 2:2","Brasil","Antes",0
"4608",1,0,"Bruno Melo",61,"Fortaleza","Fortaleza v. Flamengo RJ 1:2","Brasil","Antes",0
"4611",1,0,"Thiago Neves",58,"Cruzeiro","Cruzeiro v. São Paulo FC 1:0","Brasil","Antes",0
"4612",1,0,"Felipe Melo",90,"Palmeiras","Palmeiras v. Chapecoense 1:0","Brasil","Antes",0
"4613",1,0,"Bruno Gomes",8,"Vasco da Gama - RJ","Vasco da Gama - RJ v. Botafogo - RJ 2:1","Brasil","Antes",0
"4616",0,1,"Janderson",11,"Corinthians SP","Goiás - GO v. Corinthians SP 2:2","Brasil","Antes",1
"4620",0,1,"Lima",18,"Ceará - CE","Santos FC v. Ceará - CE 2:1","Brasil","Antes",1
"4623",0,1,"Patrick",22,"Internacional","Avaí - SC v. Internacional 0:2","Brasil","Antes",1
"4625",1,0,"Frazan",4,"Fluminense RJ","Fluminense RJ v. Athletico Paranaense 1:2","Brasil","Antes",0
"4628",0,1,"Paulo Miranda",10,"Grêmio Porto Alegre","Fortaleza v. Grêmio Porto Alegre 2:1","Brasil","Antes",1
"4631",1,0,"Fágner",34,"Corinthians SP","Corinthians SP v. Cruzeiro 1:2","Brasil","Antes",0
"4634",0,1,"Marrony",53,"Vasco da Gama - RJ","Internacional v. Vasco da Gama - RJ 0:1","Brasil","Antes",1
"4635",1,0,"Luan",2,"Atlético Mineiro","Atlético Mineiro v. Santos FC 2:0","Brasil","Antes",0
"4637",1,0,"Robert Arboleda",52,"São Paulo FC","São Paulo FC v. Avaí - SC 1:0","Brasil","Antes",0
"4638",1,0,"Bruno Henrique",4,"Flamengo RJ","Flamengo RJ v. Fluminense RJ 2:0","Brasil","Antes",0
"4640",1,0,"Everaldo",23,"Chapecoense","Chapecoense v. Goiás - GO 2:2","Brasil","Antes",0
"4644",1,0,"Marcelo Cirino",7,"Athletico Paranaense","Athletico Paranaense v. Palmeiras 1:1","Brasil","Antes",0
"4646",1,0,"Artur",76,"Bahia - BA","Bahia - BA v. Ceará - CE 1:2","Brasil","Antes",0
"4649",1,0,"Luciano Castán",16,"Botafogo - RJ","Botafogo - RJ v. CSA - AL 2:1","Brasil","Antes",0
"4652",0,1,"Rossi",18,"Vasco da Gama - RJ","Ceará - CE v. Vasco da Gama - RJ 1:1","Brasil","Antes",1
"4654",NA,NA,NA,90,NA,"Corinthians SP v. Santos FC 0:0","Brasil","Antes",0
"4655",0,1,"Paolo Guerrero",50,"Internacional","Bahia - BA v. Internacional 2:3","Brasil","Antes",1
"4660",0,1,"Everaldo",27,"Chapecoense","Fluminense RJ v. Chapecoense 1:1","Brasil","Antes",1
"4662",1,0,"Luis Orejuela",80,"Cruzeiro","Cruzeiro v. Fortaleza 1:1","Brasil","Antes",0
"4664",1,0,"Maicon",12,"Grêmio Porto Alegre","Grêmio Porto Alegre v. Botafogo - RJ 3:0","Brasil","Antes",0
"4667",1,0,"Igor Gomes",51,"São Paulo FC","São Paulo FC v. Atlético Mineiro 2:0","Brasil","Antes",0
"4669",0,1,"Rafael Moura",45,"Goiás - GO","Athletico Paranaense v. Goiás - GO 4:1","Brasil","Antes",1
"4674",0,1,"Deyverson",54,"Palmeiras","Avaí - SC v. Palmeiras 1:2","Brasil","Antes",1
"4677",1,0,"Giorgian de Arrascaeta",9,"Flamengo RJ","Flamengo RJ v. CSA - AL 1:0","Brasil","Antes",0
"4678",0,1,"Henrique Almeida",6,"Chapecoense","Atlético Mineiro v. Chapecoense 0:2","Brasil","Antes",1
"4680",1,0,"Bruno Henrique",12,"Palmeiras","Palmeiras v. São Paulo FC 3:0","Brasil","Antes",0
"4683",0,1,"Paulão",23,"Fortaleza","Avaí - SC v. Fortaleza 1:3","Brasil","Antes",1
"4687",1,0,"Bérgson",14,"Ceará - CE","Ceará - CE v. Fluminense RJ 2:0","Brasil","Antes",0
"4689",1,0,"Fredy Guarín",9,"Vasco da Gama - RJ","Vasco da Gama - RJ v. Grêmio Porto Alegre 1:3","Brasil","Antes",0
"4693",1,0,"Apodi",25,"CSA - AL","CSA - AL v. Corinthians SP 2:1","Brasil","Antes",0
"4696",1,0,"Carlos Sánchez",54,"Santos FC","Santos FC v. Bahia - BA 1:0","Brasil","Antes",0
"4697",0,1,"Gabriel Barbosa",55,"Flamengo RJ","Goiás - GO v. Flamengo RJ 2:2","Brasil","Antes",1
"4701",1,0,"Rodrigo Lindoso",11,"Internacional","Internacional v. Athletico Paranaense 1:1","Brasil","Antes",0
"4703",0,1,"Cacá",26,"Cruzeiro","Botafogo - RJ v. Cruzeiro 0:2","Brasil","Antes",1
"4705",1,0,"Gabriel Dias",15,"Fortaleza","Fortaleza v. Atlético Mineiro 2:2","Brasil","Antes",0
"4709",1,0,"Zé Rafael",17,"Palmeiras","Palmeiras v. Ceará - CE 1:0","Brasil","Antes",0
"4710",NA,NA,NA,90,NA,"Fluminense RJ v. Vasco da Gama - RJ 0:0","Brasil","Antes",0
"4711",0,1,"Bruno Alves",7,"São Paulo FC","Chapecoense v. São Paulo FC 0:3","Brasil","Antes",1
"4714",1,0,"Bruno Henrique",45,"Flamengo RJ","Flamengo RJ v. Corinthians SP 4:1","Brasil","Antes",0
"4719",1,0,"Geromel",34,"Grêmio Porto Alegre","Grêmio Porto Alegre v. Internacional 2:0","Brasil","Antes",0
"4721",1,0,"Marcelo Cirino",82,"Athletico Paranaense","Athletico Paranaense v. CSA - AL 1:0","Brasil","Antes",0
"4724",1,0,"Eduardo Sasha",3,"Santos FC","Santos FC v. Botafogo - RJ 4:1","Brasil","Antes",0
"4729",1,0,"Rafael Moura",90,"Goiás - GO","Goiás - GO v. Avaí - SC 2:0","Brasil","Antes",0
"4731",0,1,"Romarinho",34,"Fortaleza","Corinthians SP v. Fortaleza 3:2","Brasil","Antes",1
"4736",1,0,"Marquinhos",54,"Atlético Mineiro","Atlético Mineiro v. Goiás - GO 2:0","Brasil","Antes",0
"4738",0,1,"Eduardo Sasha",9,"Santos FC","Avaí - SC v. Santos FC 1:2","Brasil","Antes",1
"4741",0,1,"Lucas Lima",12,"Palmeiras","Vasco da Gama - RJ v. Palmeiras 1:2","Brasil","Antes",1
"4744",0,1,"Henrique Almeida",14,"Chapecoense","Bahia - BA v. Chapecoense 1:1","Brasil","Antes",1
"4746",NA,NA,NA,90,NA,"Athletico Paranaense v. Cruzeiro 0:0","Brasil","Antes",0
"4747",1,0,"Thiago Galhardo",42,"Ceará - CE","Ceará - CE v. Internacional 2:0","Brasil","Antes",0
"4749",0,1,"Digão",37,"Fluminense RJ","São Paulo FC v. Fluminense RJ 0:2","Brasil","Antes",1
"4751",0,1,"Lincoln",89,"Flamengo RJ","Botafogo - RJ v. Flamengo RJ 0:1","Brasil","Antes",1
"4752",1,0,"Diego Tardelli",8,"Grêmio Porto Alegre","Grêmio Porto Alegre v. CSA - AL 2:1","Brasil","Antes",0
"4755",0,1,"Yeferson Soteldo",25,"Santos FC","Goiás - GO v. Santos FC 0:3","Brasil","Antes",1
"4758",0,1,"Michel Macedo",90,"Corinthians SP","Palmeiras v. Corinthians SP 1:1","Brasil","Antes",1
"4760",1,0,"William Pottker",35,"Internacional","Internacional v. Fluminense RJ 2:1","Brasil","Antes",0
"4764",0,1,"Marcelo Cirino",90,"Athletico Paranaense","São Paulo FC v. Athletico Paranaense 0:1","Brasil","Antes",1
"4765",0,1,"Willian Arão",39,"Bahia - BA","Flamengo RJ v. Bahia - BA 3:1","Brasil","Antes",1
"4769",1,0,"Wellington Paulista",13,"Fortaleza","Fortaleza v. Ceará - CE 1:0","Brasil","Antes",0
"4770",0,1,"Luciano",3,"Grêmio Porto Alegre","Chapecoense v. Grêmio Porto Alegre 0:1","Brasil","Antes",1
"4771",0,1,"Raul",26,"Vasco da Gama - RJ","CSA - AL v. Vasco da Gama - RJ 0:3","Brasil","Antes",1
"4774",1,0,"Ricardo",13,"Botafogo - RJ","Botafogo - RJ v. Avaí - SC 2:0","Brasil","Antes",0
"4776",1,0,"Carlos Sánchez",8,"Santos FC","Santos FC v. São Paulo FC 1:1","Brasil","Antes",0
"4778",1,0,"Patric",16,"Fluminense RJ","Fluminense RJ v. Atlético Mineiro 1:1","Brasil","Antes",0
"4780",0,1,"Gabriel Barbosa",37,"Flamengo RJ","Grêmio Porto Alegre v. Flamengo RJ 0:1","Brasil","Antes",1
"4783",NA,NA,NA,90,NA,"Corinthians SP v. Internacional 0:0","Brasil","Antes",0
"4784",1,0,"Everaldo",82,"Chapecoense","Chapecoense v. Ceará - CE 1:0","Brasil","Antes",0
"4785",1,0,"Thonny Anderson",59,"Athletico Paranaense","Athletico Paranaense v. Botafogo - RJ 1:0","Brasil","Antes",0
"4786",1,0,"Juninho Valoura",34,"Fortaleza","Fortaleza v. CSA - AL 3:0","Brasil","Antes",0
"4789",1,0,"Fredy Guarín",35,"Vasco da Gama - RJ","Vasco da Gama - RJ v. Goiás - GO 1:1","Brasil","Antes",0
"4791",NA,NA,NA,90,NA,"Cruzeiro v. Avaí - SC 0:0","Brasil","Antes",0
"4792",1,0,"Éverton Ribeiro",1,"Flamengo RJ","Flamengo RJ v. Vasco da Gama - RJ 4:4","Brasil","Antes",0
"4800",0,1,"Luis Orejuela",14,"Cruzeiro","Santos FC v. Cruzeiro 4:1","Brasil","Antes",1
"4805",0,1,"Vitinho",87,"Athletico Paranaense","Atlético Mineiro v. Athletico Paranaense 0:1","Brasil","Antes",1
"4806",0,1,"Éverton",69,"Grêmio Porto Alegre","Palmeiras v. Grêmio Porto Alegre 1:2","Brasil","Antes",1
"4809",1,0,"Rafael Moura",8,"Goiás - GO","Goiás - GO v. Bahia - BA 4:3","Brasil","Antes",0
"4817",0,1,"Osvaldo",8,"Fortaleza","Internacional v. Fortaleza 2:2","Brasil","Antes",1
"4821",0,1,"Vitor Bueno",45,"São Paulo FC","Ceará - CE v. São Paulo FC 1:1","Brasil","Antes",1
"4823",0,1,"Everaldo",77,"Chapecoense","Avaí - SC v. Chapecoense 0:1","Brasil","Antes",1
"4824",0,1,"Yony González",50,"Fluminense RJ","CSA - AL v. Fluminense RJ 0:1","Brasil","Antes",1
"4825",0,1,"Rafael Moura",14,"Goiás - GO","Internacional v. Goiás - GO 1:2","Brasil","Antes",1
"4829",0,1,"Juan Cazares",54,"Atlético Mineiro","Bahia - BA v. Atlético Mineiro 1:1","Brasil","Antes",1
"4831",1,0,"Gustavo",22,"Corinthians SP","Corinthians SP v. Avaí - SC 3:0","Brasil","Antes",0
"4834",0,1,"Thiago Galhardo",27,"Ceará - CE","Flamengo RJ v. Ceará - CE 4:1","Brasil","Antes",1
"4839",1,0,"Márcio Azevedo",33,"Athletico Paranaense","Athletico Paranaense v. Grêmio Porto Alegre 2:0","Brasil","Antes",0
"4842",1,0,"Edinho",50,"Fortaleza","Fortaleza v. Santos FC 2:1","Brasil","Antes",0
"4845",1,0,"Antony",6,"São Paulo FC","São Paulo FC v. Vasco da Gama - RJ 1:0","Brasil","Antes",0
"4846",0,1,"Alan Costa",43,"CSA - AL","Cruzeiro v. CSA - AL 0:1","Brasil","Antes",1
"4847",1,0,"Mateus Gonçalves",88,"Ceará - CE","Ceará - CE v. Athletico Paranaense 1:1","Brasil","Antes",0
"4849",0,1,"Paolo Guerrero",84,"Internacional","Botafogo - RJ v. Internacional 0:1","Brasil","Antes",1
"4850",0,1,"Giorgian de Arrascaeta",4,"Flamengo RJ","Palmeiras v. Flamengo RJ 1:3","Brasil","Antes",1
"4854",0,1,"Marcos Paulo",36,"Fluminense RJ","Avaí - SC v. Fluminense RJ 1:1","Brasil","Antes",1
"4856",0,1,"Bruno Melo",16,"Fortaleza","Goiás - GO v. Fortaleza 1:2","Brasil","Antes",1
"4859",1,0,"Juan Cazares",19,"Atlético Mineiro","Atlético Mineiro v. Corinthians SP 2:1","Brasil","Antes",0
"4862",0,1,"Gilberto",32,"Bahia - BA","CSA - AL v. Bahia - BA 1:2","Brasil","Antes",1
"4865",1,0,"Luciano",56,"Grêmio Porto Alegre","Grêmio Porto Alegre v. São Paulo FC 3:0","Brasil","Antes",0
"4868",1,0,"Lucas Veríssimo",8,"Santos FC","Santos FC v. Chapecoense 2:0","Brasil","Antes",0
"4870",1,0,"Fredy Guarín",10,"Vasco da Gama - RJ","Vasco da Gama - RJ v. Cruzeiro 1:0","Brasil","Antes",0
"4871",1,0,"Marco Rubén",47,"Athletico Paranaense","Athletico Paranaense v. Santos FC 1:0","Brasil","Antes",0
"4872",1,0,"Jair",41,"Atlético Mineiro","Atlético Mineiro v. Botafogo - RJ 2:0","Brasil","Antes",0
"4874",0,1,"Gustavo",82,"Corinthians SP","Ceará - CE v. Corinthians SP 0:1","Brasil","Antes",1
"4875",1,0,"Gustavo",2,"Chapecoense","Chapecoense v. CSA - AL 3:0","Brasil","Antes",0
"4878",1,0,"Antony",16,"São Paulo FC","São Paulo FC v. Internacional 2:1","Brasil","Antes",0
"4881",NA,NA,NA,90,NA,"Fluminense RJ v. Fortaleza 0:0","Brasil","Antes",0
"4882",1,0,"Ferreira",67,"Grêmio Porto Alegre","Grêmio Porto Alegre v. Cruzeiro 2:0","Brasil","Antes",0
"4884",1,0,"Zé Rafael",22,"Palmeiras","Palmeiras v. Goiás - GO 5:1","Brasil","Antes",0
"4890",1,0,"Gilberto",45,"Bahia - BA","Bahia - BA v. Vasco da Gama - RJ 1:1","Brasil","Antes",0
"4892",1,0,"Giorgian de Arrascaeta",11,"Flamengo RJ","Flamengo RJ v. Avaí - SC 6:1","Brasil","Antes",0
"4899",0,1,"Rómulo Otero",6,"Atlético Mineiro","Internacional v. Atlético Mineiro 2:1","Brasil","Antes",1
"4902",0,1,"Zé Rafael",58,"Palmeiras","Cruzeiro v. Palmeiras 0:2","Brasil","Antes",1
"4904",1,0,"Osvaldo",13,"Fortaleza","Fortaleza v. Bahia - BA 2:1","Brasil","Antes",0
"4907",0,1,"Evanilson",8,"Fluminense RJ","Corinthians SP v. Fluminense RJ 1:2","Brasil","Antes",1
"4910",1,0,"Marinho",15,"Santos FC","Santos FC v. Flamengo RJ 4:0","Brasil","Antes",0
"4914",1,0,"Yago Pikachu",84,"Vasco da Gama - RJ","Vasco da Gama - RJ v. Chapecoense 1:1","Brasil","Antes",0
"4916",1,0,"Marcos Vinicius",39,"Botafogo - RJ","Botafogo - RJ v. Ceará - CE 1:1","Brasil","Antes",0
"4918",NA,NA,NA,90,NA,"Avaí - SC v. Athletico Paranaense 0:0","Brasil","Antes",0
"4919",1,0,"Rafael Moura",4,"Goiás - GO","Goiás - GO v. Grêmio Porto Alegre 3:2","Brasil","Antes",0
"4924",0,1,"Toró",11,"São Paulo FC","CSA - AL v. São Paulo FC 1:2","Brasil","Antes",1
"4927",0,1,"Vitinho",22,"Athletico Paranaense","Fortaleza v. Athletico Paranaense 0:2","Brasil","Depois",1
"4929",0,1,"Paolo Guerrero",72,"Internacional","Coritiba - PR v. Internacional 0:1","Brasil","Depois",1
"4930",1,0,"Élton",20,"Sport - PE","Sport - PE v. Ceará - CE 3:2","Brasil","Depois",0
"4935",0,1,"Filipe Luís",24,"Atlético Mineiro","Flamengo RJ v. Atlético Mineiro 0:1","Brasil","Depois",1
"4936",1,0,"Marinho",65,"Santos FC","Santos FC v. Red Bull Bragantino 1:1","Brasil","Depois",0
"4938",1,0,"Diego Souza",45,"Grêmio Porto Alegre","Grêmio Porto Alegre v. Fluminense RJ 1:0","Brasil","Depois",0
"4939",0,1,"Gilberto",43,"Bahia - BA","Botafogo - RJ v. Bahia - BA 1:2","Brasil","Depois",1
"4942",NA,NA,NA,90,NA,"Corinthians SP v. Atlético Goianiense 0:0","Brasil","Depois",0
"4943",0,1,"Igor Gomes",20,"São Paulo FC","Goiás - GO v. São Paulo FC 0:3","Brasil","Depois",1
"4948",1,0,"Alerrandro",6,"Red Bull Bragantino","Red Bull Bragantino v. Botafogo - RJ 1:1","Brasil","Depois",0
"4950",0,1,"Jô",12,"Corinthians SP","Atlético Mineiro v. Corinthians SP 3:2","Brasil","Depois",1
"4955",1,0,"Vitinho",32,"Athletico Paranaense","Athletico Paranaense v. Goiás - GO 2:1","Brasil","Depois",0
"4958",1,0,"Rodriguinho",40,"Bahia - BA","Bahia - BA v. Coritiba - PR 1:0","Brasil","Depois",0
"4959",1,0,"Hyuri",15,"Atlético Goianiense","Atlético Goianiense v. Flamengo RJ 3:0","Brasil","Depois",0
"4962",0,1,"Luiz Adriano",15,"Palmeiras","Fluminense RJ v. Palmeiras 1:1","Brasil","Depois",1
"4964",1,0,"Cléber",44,"Ceará - CE","Ceará - CE v. Grêmio Porto Alegre 1:1","Brasil","Depois",0
"4966",1,0,"Dani Alves",43,"São Paulo FC","São Paulo FC v. Fortaleza 1:0","Brasil","Depois",0
"4967",1,0,"Paolo Guerrero",57,"Internacional","Internacional v. Santos FC 2:0","Brasil","Depois",0
"4969",1,0,"Fellipe Bastos",9,"Vasco da Gama - RJ","Vasco da Gama - RJ v. Sport - PE 2:0","Brasil","Depois",0
"4972",0,1,"Giorgian de Arrascaeta",28,"Flamengo RJ","Coritiba - PR v. Flamengo RJ 0:1","Brasil","Depois",1
"4973",1,0,"Gustavo Gómez",18,"Palmeiras","Palmeiras v. Goiás - GO 1:1","Brasil","Depois",0
"4975",1,0,"Marrony",73,"Atlético Mineiro","Atlético Mineiro v. Ceará - CE 2:0","Brasil","Depois",0
"4977",1,0,"Germán Cano",62,"Vasco da Gama - RJ","Vasco da Gama - RJ v. São Paulo FC 2:1","Brasil","Depois",0
"4980",1,0,"Juninho",26,"Bahia - BA","Bahia - BA v. Red Bull Bragantino 2:1","Brasil","Depois",0
"4986",1,0,"Jorginho",14,"Atlético Goianiense","Atlético Goianiense v. Sport - PE 1:1","Brasil","Depois",0
"4988",NA,NA,NA,90,NA,"Fortaleza v. Botafogo - RJ 0:0","Brasil","Depois",0
"4989",1,0,"Yeferson Soteldo",29,"Santos FC","Santos FC v. Athletico Paranaense 3:1","Brasil","Depois",0
"4993",0,1,"Pepê",45,"Grêmio Porto Alegre","Flamengo RJ v. Grêmio Porto Alegre 1:1","Brasil","Depois",1
"4995",1,0,"Alerrandro",1,"Red Bull Bragantino","Red Bull Bragantino v. Fluminense RJ 2:1","Brasil","Depois",0
"4998",0,1,"Raphael Veiga",90,"Palmeiras","Athletico Paranaense v. Palmeiras 0:1","Brasil","Depois",1
"4999",1,0,"Damián Musto",52,"Internacional","Internacional v. Atlético Goianiense 3:0","Brasil","Depois",0
"5002",0,1,"Wellington Paulista",8,"Fortaleza","Goiás - GO v. Fortaleza 1:3","Brasil","Depois",1
"5009",1,0,"Léo Natel",38,"Corinthians SP","Corinthians SP v. Coritiba - PR 3:1","Brasil","Depois",0
"5013",0,1,"Marinho",76,"Santos FC","Sport - PE v. Santos FC 0:1","Brasil","Depois",1
"5014",0,1,"Rossi",21,"Bahia - BA","São Paulo FC v. Bahia - BA 1:1","Brasil","Depois",1
"5016",0,1,"Germán Cano",68,"Vasco da Gama - RJ","Ceará - CE v. Vasco da Gama - RJ 0:3","Brasil","Depois",1
"5019",0,1,"Felipe Aguilar",45,"Fluminense RJ","Athletico Paranaense v. Fluminense RJ 0:1","Brasil","Depois",1
"5020",1,0,"Thiago Galhardo",8,"Internacional","Internacional v. Atlético Mineiro 1:0","Brasil","Depois",0
"5021",1,0,"Daniel Bessa",21,"Goiás - GO","Goiás - GO v. Atlético Goianiense 2:0","Brasil","Depois",0
"5023",0,1,"Pedro Raúl",90,"Botafogo - RJ","Flamengo RJ v. Botafogo - RJ 1:1","Brasil","Depois",1
"5025",NA,NA,NA,90,NA,"Vasco da Gama - RJ v. Grêmio Porto Alegre 0:0","Brasil","Depois",0
"5026",1,0,"Luiz Adriano",45,"Palmeiras","Palmeiras v. Santos FC 2:1","Brasil","Depois",0
"5029",1,0,"Alerrandro",45,"Red Bull Bragantino","Red Bull Bragantino v. Coritiba - PR 1:2","Brasil","Depois",0
"5032",0,1,"Pablo",6,"São Paulo FC","Sport - PE v. São Paulo FC 0:1","Brasil","Depois",1
"5033",1,0,"Cléber",12,"Ceará - CE","Ceará - CE v. Bahia - BA 2:0","Brasil","Depois",0
"5035",0,1,"Romarinho",62,"Fortaleza","Corinthians SP v. Fortaleza 1:1","Brasil","Depois",1
"5037",0,1,"Thiago Galhardo",6,"Internacional","Botafogo - RJ v. Internacional 0:2","Brasil","Depois",1
"5039",1,0,"Dodi",3,"Fluminense RJ","Fluminense RJ v. Vasco da Gama - RJ 2:1","Brasil","Depois",0
"5044",1,0,"Wellington Paulista",39,"Fortaleza","Fortaleza v. Red Bull Bragantino 3:0","Brasil","Depois",0
"5047",1,0,"Hernanes",14,"São Paulo FC","São Paulo FC v. Corinthians SP 2:1","Brasil","Depois",0
"5050",0,1,"Gabriel Barbosa",45,"Flamengo RJ","Santos FC v. Flamengo RJ 0:1","Brasil","Depois",1
"5051",1,0,"Sabino",90,"Coritiba - PR","Coritiba - PR v. Sport - PE 1:0","Brasil","Depois",0
"5052",0,1,"Vina",64,"Ceará - CE","Atlético Goianiense v. Ceará - CE 0:2","Brasil","Depois",1
"5054",0,1,"Christian",35,"Athletico Paranaense","Atlético Mineiro v. Athletico Paranaense 0:2","Brasil","Depois",1
"5056",1,0,"Jean Pyerre",19,"Grêmio Porto Alegre","Grêmio Porto Alegre v. Goiás - GO 2:1","Brasil","Depois",0
"5059",1,0,"Vina",44,"Ceará - CE","Ceará - CE v. Fortaleza 1:0","Brasil","Depois",0
"5060",1,0,"Evanilson",7,"Fluminense RJ","Fluminense RJ v. Atlético Goianiense 1:1","Brasil","Depois",0
"5062",0,1,"Fábio Sanches",28,"Corinthians SP","Goiás - GO v. Corinthians SP 1:2","Brasil","Depois",1
"5065",NA,NA,NA,90,NA,"Botafogo - RJ v. Coritiba - PR 0:0","Brasil","Depois",0
"5066",0,1,"Pedro",2,"Flamengo RJ","Bahia - BA v. Flamengo RJ 3:5","Brasil","Depois",1
"5074",1,0,"Geuvânio",17,"Athletico Paranaense","Athletico Paranaense v. Red Bull Bragantino 1:1","Brasil","Depois",0
"5076",0,1,"Thiago Galhardo",90,"Internacional","Palmeiras v. Internacional 1:1","Brasil","Depois",1
"5078",1,0,"Lucas Veríssimo",21,"Santos FC","Santos FC v. Vasco da Gama - RJ 2:2","Brasil","Depois",0
"5082",0,1,"Patric",6,"Sport - PE","Grêmio Porto Alegre v. Sport - PE 1:2","Brasil","Depois",1
"5085",1,0,"Alan Franco",35,"Atlético Mineiro","Atlético Mineiro v. São Paulo FC 3:0","Brasil","Depois",0
"5088",1,0,"Éverton Ribeiro",6,"Flamengo RJ","Flamengo RJ v. Fortaleza 2:1","Brasil","Depois",0
"5091",1,0,"Fágner",12,"Corinthians SP","Corinthians SP v. Botafogo - RJ 2:2","Brasil","Depois",0
"5096",1,0,"Claudinho",55,"Red Bull Bragantino","Red Bull Bragantino v. Palmeiras 1:2","Brasil","Depois",0
"5099",0,1,"Wellington Silva",40,"Fluminense RJ","São Paulo FC v. Fluminense RJ 3:1","Brasil","Depois",1
"5103",0,1,"Rodriguinho",20,"Bahia - BA","Internacional v. Bahia - BA 2:2","Brasil","Depois",1
"5107",1,0,"Germán Cano",7,"Vasco da Gama - RJ","Vasco da Gama - RJ v. Athletico Paranaense 1:0","Brasil","Depois",0
"5108",1,0,"Édson",11,"Atlético Goianiense","Atlético Goianiense v. Grêmio Porto Alegre 1:1","Brasil","Depois",0
"5110",1,0,"Leandro Barcia",60,"Sport - PE","Sport - PE v. Goiás - GO 2:1","Brasil","Depois",0
"5113",0,1,"Eduardo Sasha",33,"Atlético Mineiro","Coritiba - PR v. Atlético Mineiro 0:1","Brasil","Depois",1
"5114",0,1,"Victor Luís",80,"Botafogo - RJ","Athletico Paranaense v. Botafogo - RJ 1:1","Brasil","Depois",1
"5116",1,0,"Wellington Paulista",54,"Fortaleza","Fortaleza v. Sport - PE 1:0","Brasil","Depois",0
"5117",0,1,"Robson",13,"Coritiba - PR","Goiás - GO v. Coritiba - PR 3:3","Brasil","Depois",1
"5123",0,1,"Raul",53,"Red Bull Bragantino","São Paulo FC v. Red Bull Bragantino 1:1","Brasil","Depois",1
"5125",0,1,"Filipe Luís",8,"Flamengo RJ","Fluminense RJ v. Flamengo RJ 1:2","Brasil","Depois",1
"5132",0,1,"Luiz Adriano",43,"Palmeiras","Corinthians SP v. Palmeiras 0:2","Brasil","Depois",1
"5134",1,0,"Thiago Galhardo",45,"Internacional","Internacional v. Ceará - CE 2:0","Brasil","Depois",0
"5138",1,0,"Germán Cano",62,"Vasco da Gama - RJ","Vasco da Gama - RJ v. Atlético Goianiense 1:2","Brasil","Depois",0
"5141",1,0,"Fabinho",12,"Athletico Paranaense","Athletico Paranaense v. Coritiba - PR 1:0","Brasil","Depois",0
"5142",0,1,"Gabriel",8,"São Paulo FC","Santos FC v. São Paulo FC 2:2","Brasil","Depois",1
"5146",1,0,"Nenê",8,"Fluminense RJ","Fluminense RJ v. Corinthians SP 2:1","Brasil","Depois",0
"5149",0,1,"Osvaldo",17,"Fortaleza","Grêmio Porto Alegre v. Fortaleza 1:1","Brasil","Depois",1
"5151",1,0,"Réver",29,"Atlético Mineiro","Atlético Mineiro v. Red Bull Bragantino 2:1","Brasil","Depois",0
"5154",0,1,"Jean",40,"Atlético Goianiense","Bahia - BA v. Atlético Goianiense 0:1","Brasil","Depois",1
"5155",1,0,"Luiz Otávio",50,"Ceará - CE","Ceará - CE v. Flamengo RJ 2:0","Brasil","Depois",0
"5157",1,0,"Vinícius Lopes",45,"Goiás - GO","Goiás - GO v. Internacional 1:0","Brasil","Depois",0
"5158",0,1,"Iago Maidana",12,"Sport - PE","Palmeiras v. Sport - PE 2:2","Brasil","Depois",1
"5162",0,1,"Ribamar",35,"Vasco da Gama - RJ","Botafogo - RJ v. Vasco da Gama - RJ 2:3","Brasil","Depois",1
"5167",1,0,"Luciano",65,"São Paulo FC","São Paulo FC v. Athletico Paranaense 1:0","Brasil","Depois",0
"5168",1,0,"Rómulo Otero",17,"Corinthians SP","Corinthians SP v. Bahia - BA 3:2","Brasil","Depois",0
"5173",1,0,"Léo Ortiz",5,"Red Bull Bragantino","Red Bull Bragantino v. Ceará - CE 4:2","Brasil","Depois",0
